Player,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,PassOff,BlockedPass,MP,Min,Starts,Compl,Subs,unSub,PPM,onG,onGA,+/-,On-Off,onxG,onxGA,xG+/-,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,PrgC,PrgP,PrgR,Sh,SoT,ShotDist,FKS,G-xG,PenToDef,ToDef3rd,ToMid3rd,ToAtt3rd,PenToAtt,ToLive,Att.2,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,Pfin,CPA,Mis,Dis,Rec,TotCmp,TotAtt,TotCmp%,TotDistPass,PrgDistPass,ShrCmp,ShrAtt,ShrCmp%,MedCmp,MedAtt,CmpMed%,LongCmp,LongAtt,LongCmp%,xA,A-xAG,KP,Cfin,PPA,CrsPA,2CrdY,Fls,Fld,Off,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,SCA,SCA90,SCAPassLive,SCAPassDead,SCATO,SCASh,SCAFld,SCADef,GCA,GCA90,GCAPassLive,GCAPassDead,GCATO,GCASh,GCAFld,GCADef,Tkl,TklDef3rd,TklMid3rd,TklAtt3rd,ChalTkl,ChalAtt,Tkl%,ChalLost,Blocks,BlSh,Pass,Tkl+Int,Clr,Err,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKattA,PKA,PKsv,PKm,PKSave%,FKGA,CKGA,PSxG,PSxG/SoT,PSxG+/-,xg/90,LPCmp,LPAtt,GKLCmp%,GKPAtt,Thr,Launch%,PAvgLen,GKAtt,PLaunch%,GKAvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Value
Pierre-Emerick Aubameyang,FW,30,34.8,912,881,28,0,7,1,89,3,1,0,0,0,614,3,32,36,"3,136",35,31,1,0,1.5,51,44,7,-0.12,43.4,49.9,-6.5,22,3,25,20,2,2,3,1,14.7,13.2,3.3,98,81,288,91,40,15.5,2,7.3,26,143,436,667,150,1231,38,17,44.7,21,55.3,727,4964,2702,47,38,58,31,928,614,912,67.3,8262,2061,373,461,80.9,169,277,61,25,54,46.3,4.1,-0.3,26,25,47,16,0,14,20,20,14,19,0,0,0,92,33,58,36.3,69,1.98,48,0,6,7,6,2,12,0.34,8,0,0,2,1,1,31,10,12,9,12,51,23.5,39,39,1,38,45,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
David Luiz,DF,32,31.2,1816,1697,110,107,12,23,5,3,0,0,0,0,1537,9,7,33,"2,809",32,30,1,3,1.42,47,38,9,0.44,40.5,46.6,-6.1,2,1,3,2,0,0,5,2,1.6,1.6,0.9,21,106,4,23,8,20.4,7,0.4,331,1124,933,58,16,2106,8,5,62.5,3,37.5,1370,9179,5310,13,1,16,5,1451,1537,1816,84.6,33337,11723,379,421,90,889,938,94.8,254,413,61.5,1.2,0.1,4,100,9,2,0,30,14,1,32,16,0,5,0,128,51,41,55.4,12,0.38,8,0,1,1,0,2,3,0.1,3,0,0,0,0,0,28,14,14,0,13,24,54.2,11,42,37,5,60,133,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Bernd Leno,GK,27,29.4,990,682,303,50,0,0,0,0,0,0,0,0,762,5,1,30,"2,649",30,29,0,0,1.33,40,39,1,-0.78,36.5,42.7,-6.2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,950,1055,6,0,0,1061,1,1,100,0,0,543,3095,2134,0,0,1,0,437,762,990,77,16550,10417,214,215,99.5,429,432,99.3,112,330,33.9,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,37,8,2,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,9,2,39,1.33,151,111,78.1,9,13,8,7,23.3,7,6,1,0,14.3,0,6,40,0.22,1,0.04,64,266,24.1,732,185,23.4,27.9,253,37.5,34.4,468,17,3.6,38,1.29,15.6,28
Granit Xhaka,MF,26,28.7,1944,1867,69,51,4,25,16,17,1,1,0,0,1695,8,19,31,"2,586",30,25,1,0,1.65,47,31,16,1.42,38.9,41.7,-2.8,1,2,3,1,0,0,10,0,0.5,0.5,1,38,237,33,11,3,23,0,0.5,125,610,1292,305,19,2193,32,25,78.1,7,21.9,1285,6390,3316,28,2,28,12,1591,1695,1944,87.2,31542,8782,676,740,91.4,781,863,90.5,198,263,75.3,1.3,1,16,197,22,3,0,56,32,0,21,25,0,1,0,195,45,54,45.5,44,1.53,38,2,1,1,2,0,3,0.1,2,0,0,0,1,0,45,20,19,6,25,55,45.5,30,32,16,16,66,59,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
Nicolas P??p??,FW,24,22.3,824,737,85,9,10,6,109,7,66,31,22,0,610,2,23,31,"2,010",22,11,9,6,1.55,38,30,8,0.36,29.8,34.6,-4.8,5,6,11,4,1,1,4,0,4.9,4.1,4.8,98,67,191,49,17,20,7,0.1,10,135,394,620,86,1116,133,72,54.1,61,45.9,745,5947,3041,64,39,61,53,826,610,824,74,8817,2028,364,415,87.7,171,222,77,45,101,44.6,4,1.2,39,28,30,6,0,14,37,4,8,17,0,0,0,104,21,41,33.9,72,3.22,39,16,10,4,3,0,9,0.4,7,2,0,0,0,0,32,15,13,4,8,16,50,8,15,2,13,40,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
Alexandre Lacazette,FW,28,20.8,521,475,45,0,3,6,15,0,0,0,0,0,391,1,15,30,"1,874",22,9,8,4,1.3,36,25,11,0.7,27.4,29.6,-2.2,10,4,14,10,0,0,8,0,8.1,8.1,2.9,21,49,137,52,26,12.6,3,1.9,21,91,332,347,101,761,47,24,51.1,23,48.9,433,2029,826,9,5,54,37,545,391,521,75,5362,1084,225,262,85.9,105,140,75,22,41,53.7,1.6,1.1,24,25,23,4,0,44,45,13,7,16,1,0,0,76,26,57,31.3,68,3.27,43,0,7,11,6,1,12,0.58,4,0,3,4,1,0,31,8,21,2,9,24,37.5,15,14,0,14,38,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
Bukayo Saka,FW,17,19.5,845,723,117,10,5,2,67,98,9,4,5,0,646,5,25,26,"1,753",19,10,7,6,1.42,22,18,4,-0.01,20.6,26.5,-5.9,1,5,6,1,0,0,6,0,1,1,3.3,67,67,143,13,4,17.9,0,0,35,250,409,395,59,1048,55,32,58.2,23,41.8,602,3892,2172,41,24,42,22,692,646,845,76.4,9418,2699,375,425,88.2,227,293,77.5,22,52,42.3,2,1.7,21,37,19,5,0,22,28,10,12,21,0,0,0,87,7,41,14.6,48,2.46,34,1,8,2,2,1,7,0.36,6,0,1,0,0,0,36,21,8,7,19,37,51.4,18,12,3,9,48,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
Matt??o Guendouzi,MF,20,19.4,1170,1133,33,23,7,8,6,8,1,0,0,0,1027,4,20,24,"1,748",19,15,5,5,1.29,24,31,-7,-1.17,23.9,28.7,-4.8,0,1,1,0,0,0,6,0,0.8,0.8,1.1,50,160,27,11,5,22.2,0,-0.8,70,351,785,270,18,1385,43,24,55.8,19,44.2,864,5825,3157,38,10,20,21,1013,1027,1170,87.8,18529,5467,430,467,92.1,448,483,92.8,120,144,83.3,1.6,-0.1,12,141,20,1,0,17,49,0,29,16,1,0,0,117,12,16,42.9,40,2.06,31,0,1,3,4,1,2,0.1,1,0,0,0,1,0,31,14,13,4,14,43,32.6,29,21,7,14,60,38,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
Sead Kolaè≠inac,DF,26,18.9,1041,925,113,4,0,1,29,109,0,0,0,0,877,3,15,26,"1,701",19,14,7,3,1.58,28,26,2,-0.21,25.5,23.1,2.4,0,2,2,0,0,0,4,0,0.4,0.4,1.3,36,74,88,4,0,12.2,0,-0.4,61,361,570,281,29,1202,21,16,76.2,5,23.8,631,3253,2016,33,11,21,11,755,877,1041,84.2,12502,3694,516,565,91.3,301,367,82,30,52,57.7,1.2,0.7,10,46,13,4,0,20,16,5,25,16,0,0,0,103,27,19,58.7,28,1.48,28,0,0,0,0,0,3,0.16,3,0,0,0,0,0,29,18,6,5,12,23,52.2,11,14,4,10,54,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
Sokratis Papastathopoulos,DF,31,18.8,1043,996,44,34,1,14,1,10,0,0,0,0,914,3,5,19,"1,696",19,18,0,,1.53,27,25,2,-0.21,24.8,26.7,-1.9,2,0,2,2,0,0,6,0,1.1,1.1,0.3,5,27,5,7,2,9.9,0,0.9,185,715,462,41,13,1215,5,5,100,0,0,739,3500,1966,3,0,4,5,859,914,1043,87.6,18075,6123,315,333,94.6,470,511,92,117,173,67.6,0.2,-0.3,2,35,1,0,0,19,12,1,17,16,0,0,0,71,58,27,68.2,6,0.32,4,0,0,1,1,0,0,0,0,0,0,0,0,0,25,17,7,1,10,21,47.6,11,30,24,6,42,68,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Dani Ceballos,MF,22,18.8,1329,1220,106,38,6,20,70,5,63,23,12,2,1114,3,20,24,"1,692",18,6,6,4,1.75,29,21,8,0.43,21.6,27.4,-5.7,0,2,2,0,0,0,1,0,0.6,0.6,1.8,60,174,38,13,3,22.8,0,-0.6,50,320,807,403,21,1510,36,27,75,9,25,1012,6703,3681,52,8,25,30,1089,1114,1329,83.8,19951,5446,482,523,92.2,479,531,90.2,121,202,59.9,2,0.2,28,120,29,2,0,19,35,0,32,23,0,0,0,153,9,24,27.3,56,2.98,38,10,2,1,3,2,7,0.37,5,1,0,0,0,1,45,26,14,5,18,61,29.5,43,14,3,11,77,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
Mesut ??zil,MF,30,16,913,818,90,33,2,3,72,0,57,25,23,1,758,5,17,18,"1,438",18,7,0,4,1.33,24,20,4,0.07,19.4,21.9,-2.5,1,2,3,1,0,0,1,0,1.4,1.4,2.3,48,114,136,9,3,14.2,0,-0.4,7,103,465,450,38,1009,22,16,72.7,6,27.3,591,3833,1797,39,4,25,22,797,758,913,83,11455,3088,414,442,93.7,257,295,87.1,54,100,54,2.3,-0.3,37,63,25,0,0,14,18,6,5,8,0,0,0,71,1,4,20,75,4.69,51,18,3,2,1,0,8,0.5,7,1,0,0,0,0,17,9,7,1,4,23,17.4,19,4,0,4,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Lucas Torreira,MF,23,16.8,919,884,33,19,2,4,12,2,12,6,3,0,798,2,7,29,"1,512",17,8,12,4,1.48,23,23,0,-0.38,19.5,24.9,-5.5,1,1,2,1,0,0,7,0,1.4,1.4,0.8,13,83,20,21,6,18.8,0,-0.4,55,286,629,188,25,1094,23,17,73.9,6,26.1,605,3024,1280,14,3,18,9,719,798,919,86.8,14097,3578,314,348,90.2,400,439,91.1,59,82,72,1,0.2,15,52,5,0,0,24,43,0,34,16,0,0,0,107,10,21,32.3,34,2.02,26,3,2,2,1,0,2,0.12,2,0,0,0,0,0,31,11,15,5,16,39,41,23,24,8,16,65,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
